Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
Len Dawson,7,2,0,1,28711,1957,1975,22,40,159,2136,3741,1605,57.1,28711,239,183,15,6.4,4.9,82.6,376,3428,9.17,7.7,6.75,5.33,13.4,136.1,,94,57,8,15,16,0,1,1497,8,8,107,188,81,56.9,1497,7,8,0,3.7,4.3,77.4,26,219,12.15,8,6.79,4.94,14,187.1,,5,3,0,2,1
Chris Chandler,2,0,0,0,28484,1988,2004,23,39,152,2328,4005,1677,58.1,28484,170,146,13,4.2,3.6,79.1,380,2590,8.67,7.1,6.32,5.18,12.2,158.2,42.6,67,85,0,10,15,0,0,728,3,3,59,97,38,60.8,728,4,4,0,4.1,4.1,80.6,7,52,6.73,7.5,6.47,5.54,12.3,242.7,45.2,2,1,1,1,0
Trent Green,2,0,0,0,28475,1997,2008,27,38,113,2266,3740,1474,60.6,28475,162,114,6,4.3,3,86,259,1621,6.48,7.6,7.11,6.24,12.6,237.3,45.9,56,57,0,15,19,0,0,319,2,2,32,54,22,59.3,319,2,2,0,3.7,3.7,73,4,25,6.9,5.9,4.98,4.21,10,159.5,46.6,0,2,0,0,0
Ron Jaworski,1,0,0,0,28190,1974,1989,23,38,143,2187,4117,1930,53.1,28190,179,164,4,4.3,4,72.8,363,2826,8.1,6.8,5.92,4.81,12.9,149.9,39.9,73,69,1,17,23,0,0,1669,10,8,126,271,145,46.5,1669,10,10,0,3.7,3.7,63.4,20,171,6.87,6.2,5.24,4.29,13.2,166.9,35.7,4,4,0,1,0
Terry Bradshaw,3,1,1,4,27989,1970,1983,22,35,158,2025,3901,1876,51.9,27989,212,210,8,5.4,5.4,70.9,307,2694,7.3,7.2,5.84,4.77,13.8,166.6,44.2,107,51,0,15,23,1,4,3833,19,19,261,456,195,57.2,3833,30,26,2,6.6,5.7,83,24,184,5,8.4,7.16,6.41,14.7,201.7,55.1,14,5,4,4,1
Ken Stabler,4,1,1,0,27938,1970,1984,25,39,146,2270,3793,1523,59.8,27938,194,222,16,5.1,5.9,75.3,281,2514,6.9,7.4,5.75,4.74,12.3,151.8,44.4,96,49,1,16,23,1,0,2641,13,12,203,351,148,57.8,2641,19,13,2,5.4,3.7,84.2,28,255,7.39,7.5,6.94,5.75,13,203.2,33.3,7,5,3,3,1
Craig Morton,0,0,0,0,27908,1965,1982,22,39,144,2053,3786,1733,54.2,27908,183,187,12,4.8,4.9,73.5,405,3040,9.66,7.4,6.12,4.8,13.6,134.8,42.8,81,62,1,12,21,0,0,1235,15,10,91,227,136,40.1,1235,9,16,1,4,7,42,20,145,8.1,5.4,3.06,2.23,13.6,82.3,30.8,5,5,0,1,0
Joe Namath,5,1,0,1,27663,1965,1977,22,34,130,1886,3762,1876,50.1,27663,173,220,28,4.6,5.8,65.5,170,1621,4.32,7.4,5.64,4.99,14.7,197.6,,62,63,4,15,15,0,1,641,3,3,50,117,67,42.7,641,3,4,0,2.6,3.4,54.8,6,37,4.88,5.5,4.45,3.93,12.8,213.7,,2,1,1,1,1
Jeff George,0,0,0,0,27602,1990,2001,23,34,124,2298,3967,1669,57.9,27602,154,113,12,3.9,2.8,80.4,358,2691,8.28,7,6.45,5.3,12,210.7,42.5,46,78,0,8,17,0,0,1001,3,3,71,129,58,55,1001,9,3,0,7,2.3,93.8,10,75,7.19,7.8,8.11,6.99,14.1,333.7,44.6,1,2,0,0,0
Steve Grogan,0,0,0,0,26886,1975,1990,22,37,135,1879,3593,1714,52.3,26886,182,208,11,5.1,5.8,69.6,247,1986,6.43,7.5,5.89,4.99,14.3,180.4,42.4,75,60,0,13,20,0,0,571,4,3,48,95,47,50.5,571,3,7,1,3.2,7.4,49.1,9,65,8.65,6,3.33,2.41,11.9,142.8,38.3,0,3,0,0,0
